Exchange rate
About these rates
These rates are mid rates and are included here to be able to calculate an indicative total value for multi-currency accounts. The rates are explicitly not buy or sell rates.
Exchange Rates
Base Currency,Target Currency,Symbol,Currency Description,Exponent,Exchange Rate,Exchange Rate (Platform Settlement),Valid From
AED,HKD,$,Hong Kong Dollar,2,2.071358266307072,2.161045943817275,2026-07-08T02:00:00Z
AED,HNL,,Honduras Lempira,2,7.070426979164181,7.507772977875368,2026-07-08T02:00:00Z
AED,HRK,,Croatia Kuna,2,1.7443053533497221,1.8522005298455815,2026-07-08T02:00:00Z
AED,HTG,,Haitian Gourde,2,34.45844029690446,36.589890212176904,2026-07-08T02:00:00Z
AED,HUF,Ft,Hungarian Forint,2,82.27833599847251,87.36771760662545,2026-07-08T02:00:00Z
AED,IDR,,Indonesian Rupiah,0,4747.506173178357,5041.166348838875,2026-07-08T02:00:00Z
AED,ILS,₪,New Israeli Scheqel,2,0.8043783861190005,0.8541337502088356,2026-07-08T02:00:00Z
AED,INR,₨,Indian Rupee,2,25.08254146877014,26.634038879209527,2026-07-08T02:00:00Z
AED,IQD,,Iraqi Dinar,3,345.9987828444593,367.4007694121578,2026-07-08T02:00:00Z
AED,ISK,,Iceland Krona,2,33.243110098093034,35.299384949521475,2026-07-08T02:00:00Z
AED,JMD,,Jamaican Dollar,2,41.82033723955226,44.407162223442086,2026-07-08T02:00:00Z
AED,JOD,,Jordanian Dinar,3,0.1872561397646722,0.19883899377073438,2026-07-08T02:00:00Z
AED,JPY,¥,Japanese Yen,0,42.874143535645246,44.73054975059071,2026-07-08T02:00:00Z
AED,KES,,Kenyan Shilling,2,34.137151960667325,36.248728370605505,2026-07-08T02:00:00Z
AED,KGS,,Kyrgyzstan Som,2,23.09704992959259,24.525733430392133,2026-07-08T02:00:00Z
AED,KHR,,Cambodia Riel,2,1072.1186663166186,1138.4352848516673,2026-07-08T02:00:00Z
AED,KMF,,Comoro Franc,0,113.89502517959856,120.94007828349127,2026-07-08T02:00:00Z
AED,KRW,₩,South-Korean Won,0,400.75818897825724,425.54735530680927,2026-07-08T02:00:00Z
AED,KWD,,Kuwaiti Dinar,3,0.08189634597484427,0.086962099334113,2026-07-08T02:00:00Z
AED,KYD,,Cayman Islands Dollar,2,0.21657676794195566,0.22997326905176738,2026-07-08T02:00:00Z
AED,KZT,8,Kazakhstani Tenge,2,124.2869364423972,131.97478818110218,2026-07-08T02:00:00Z
